"","year","occupation","major","TotalPopulation","Number_of_Men","Number_of_Women","Women_Percentage","Earning","Men_earning","Women_earning","Compare_to_men"
"1993",2016,"Bakers","Production, Transportation, and Material Moving",148282,68168,80114,54.0281355795039,"25848","26896","24665","91.705086258179662"
"1994",2016,"Butchers and other meat, poultry, and fish processing workers","Production, Transportation, and Material Moving",202694,159194,43500,21.4609213888916,"29474","30898","25313","81.924396401061557"
"1995",2016,"Food and tobacco roasting, baking, and drying machine operators and tenders","Production, Transportation, and Material Moving",8787,6425,2362,26.8806190963924,"29654","31168","26246","(X)"
"1996",2016,"Food batchmakers","Production, Transportation, and Material Moving",63244,28012,35232,55.7080513566504,"27101","31939","25315","79.260465261905509"
"1997",2016,"Food cooking machine operators and tenders","Production, Transportation, and Material Moving",6230,3118,3112,49.9518459069021,"26528","31345","19516","(X)"
"1998",2016,"Food processing workers, all other","Production, Transportation, and Material Moving",113094,74917,38177,33.7568748121032,"31967","34446","29998","87.087034779074486"
"1999",2016,"Computer control programmers and operators","Production, Transportation, and Material Moving",84907,77415,7492,8.82377189159904,"44235","45373","35785","78.868490071187708"
"2000",2016,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",12248,10632,1616,13.1939908556499,"36047","36243","33269","(X)"
"2001",2016,"Forging machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",6023,5882,141,2.34102606674415,"45387","45495","40659","(X)"
"2002",2016,"Rolling machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",8890,6446,2444,27.4915635545557,"35268","41292","31361","(X)"
"2003",2016,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",73711,61267,12444,16.8821478476754,"32249","33096","29971","90.557771331883004"
"2004",2016,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",4257,3563,694,16.302560488607,"40872","46574","25953","(X)"
"2005",2016,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",38492,34722,3770,9.79424295957602,"32512","33540","26940","(X)"
"2006",2016,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",8021,7150,871,10.8589951377634,"37408","40042","32740","(X)"
"2007",2016,"Milling and planing machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",1798,1510,288,16.0177975528365,"37477","43523","11674","(X)"
"2008",2016,"Machinists","Production, Transportation, and Material Moving",297165,284315,12850,4.32419699493547,"46666","47139","32065","68.022232122022103"
"2009",2016,"Metal furnace operators, tenders, pourers, and casters","Production, Transportation, and Material Moving",20923,18354,2569,12.2783539645366,"43427","45277","31818","(X)"
"2010",2016,"Model makers and patternmakers, metal and plastic","Production, Transportation, and Material Moving",4276,3680,596,13.9382600561272,"49469","49528","44894","(X)"
"2011",2016,"Molders and molding machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",33959,28251,5708,16.8085043729203,"35532","37402","29056","77.685685257472855"
"2012",2016,"Multiple machine tool setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",2097,1884,213,10.1573676680973,"47536","50644","46329","(X)"
"2013",2016,"Tool and die makers","Production, Transportation, and Material Moving",50267,49521,746,1.48407503929019,"55390","55465","48137","(X)"
"2014",2016,"Welding, soldering, and brazing workers","Production, Transportation, and Material Moving",475547,449552,25995,5.46633666072964,"40394","40770","31097","76.274221241108648"
"2015",2016,"Heat treating equipment setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",6474,6135,339,5.23632993512512,"44329","45883","24395","(X)"
"2016",2016,"Layout workers, metal and plastic","Production, Transportation, and Material Moving",5546,4862,684,12.3332131265777,"51240","52147","46871","(X)"
"2017",2016,"Plating and coating machine setters, operators, and tenders, metal and plastic","Production, Transportation, and Material Moving",12839,11669,1170,9.11285925695148,"32560","33452","31061","(X)"
"2018",2016,"Tool grinders, filers, and sharpeners","Production, Transportation, and Material Moving",5015,4845,170,3.38983050847458,"44996","45398","30923","(X)"
"2019",2016,"Metal workers and plastic workers, all other","Production, Transportation, and Material Moving",326498,258055,68443,20.9627624058953,"35076","36748","29096","79.177098073364533"
"2020",2016,"Prepress technicians and workers","Production, Transportation, and Material Moving",17187,9888,7299,42.4681445278408,"36257","41563","30647","73.736255804441456"
"2021",2016,"Printing workers, except prepress technicians and workers","Production, Transportation, and Material Moving",157832,125189,32643,20.6821176947641,"37214","40598","28722","70.747327454554409"
"2022",2016,"Laundry and dry-cleaning workers","Production, Transportation, and Material Moving",116109,46921,69188,59.5888346295292,"22823","26697","21245","79.578229763643861"
"2023",2016,"Pressers, textile, garment, and related materials","Production, Transportation, and Material Moving",24529,10530,13999,57.0712218190713,"21308","26667","19094","71.601604979937747"
"2024",2016,"Sewing machine operators","Production, Transportation, and Material Moving",129635,38708,90927,70.1407798819763,"23027","25189","22358","88.760967088808613"
"2025",2016,"Shoe and leather workers and repairers","Production, Transportation, and Material Moving",8294,6063,2231,26.8989631058597,"26559","27021","25825","(X)"
"2026",2016,"Shoe machine operators and tenders","Production, Transportation, and Material Moving",2149,766,1383,64.3555141926477,"23349","25646","20446","(X)"
"2027",2016,"Tailors, dressmakers, and sewers","Production, Transportation, and Material Moving",38822,11704,27118,69.8521456905878,"26152","36186","23975","66.25490521196042"
"2028",2016,"Textile bleaching and dyeing machine operators and tenders","Production, Transportation, and Material Moving",1234,849,385,31.1993517017828,"26938","30574","23655","(X)"
